video_id,title,published_at,duration,view_count,like_count,comment_count
BU3hv_uXmSg,Elle ne reconnaît pas sa complice,2023-11-20T18:00:05Z,PT50S,4382264,247940,300
-_aNRDbKFFg,Le deal à 50000,2023-11-19T18:00:00Z,PT35S,8128513,477884,860
A0rJNx4lGDo,Ce dictateur a vraiment existé et on dirait une blague,2023-11-19T17:44:52Z,PT23M26S,9476876,414498,4468
rCs_AUws7oQ,Squeezie chiasse ??,2023-11-16T18:00:34Z,PT40S,436593,34208,22
xG-Ef4ig07I,QUI EST L'IMPOSTEUR ? (ft Marion Cotillard & Camille Cottin),2023-11-15T17:25:44Z,PT53M4S,15838519,557573,9264
Z0dmuOZ0Rto,Qui est le vrai marionnettiste ?,2023-11-14T18:00:29Z,PT59S,2514406,160229,85
Wq86bcNMM_A,Squeezie confronte un garde du corps très imposant,2023-11-12T18:00:15Z,PT1M,1933214,115357,164
rntZOALPknU,"Qui nous cache quelque chose ? #3 (ft Theodort, Soso Maness & Maskey)",2023-11-12T17:40:37Z,PT30M15S,7670187,391188,3578
uIa8-_vONmA,Max est un vrai acteur,2023-11-09T18:00:33Z,PT9S,239224,14684,34
Wr-sgrVWgXY,Qui est la vraie Cowgirl ?,2023-11-07T18:00:14Z,PT1M,3875230,221035,168
oCpuSB-mVSc,Orelsan démonte la fausse invention de la complice de Squeezie 😂,2023-11-05T18:00:25Z,PT1M,5610910,261126,1464
2dUEseaAnLw,Ca aurait pu être le dernier tournage de Vald,2023-11-02T18:00:01Z,PT1M,2139285,130596,115
U73uutGJDQ8,Qui est la vraie Drag Queen ?,2023-10-31T18:00:22Z,PT1M,2940705,158871,1088
qSUE11N1GPM,N'acceptez pas son invitation... (Thread Horreur Halloween),2023-10-31T17:24:07Z,PT25M45S,11266511,571228,13994
Jsp-Bf_0Az8,Qui a la tête de Sofyan dans sa boîte ?,2023-10-29T18:00:06Z,PT1M,2439800,145392,146
ZLCHMqAJIcM,Impossible de ne pas rire à ça,2023-10-26T17:00:21Z,PT40S,1975219,106098,230
2eGBnPRmiv4,On lui fait un tatouage honteux...,2023-10-24T17:00:02Z,PT54S,4810095,277463,355
R88nLIDFj4w,Lequel soulève une fausse haltère ?,2023-10-22T17:00:15Z,PT40S,4410169,252021,199
7_aMqjzcUfY,Cet incroyable enquêteur n'avait pas de mains,2023-10-22T16:36:22Z,PT22M5S,7717026,361621,3184
